Timestamp,Error_Type,Line_Number,Raw_Message,Source_Code_Snippet
2026-02-08 22:58:59,expected ';' after expression,5,"temp_code.cpp:5:41: error: expected ';' after expression
    5 |         cout << ""Hello, Server!"" << endl
      |                                         ^
      |                                         ;
1 error generated.
","cout << ""Hello, Server!"" << endl"
2026-02-08 23:05:04,expected ';' after expression,5,"temp_code.cpp:5:41: error: expected ';' after expression
    5 |         cout << ""Hello, Server!"" << endl
      |                                         ^
      |                                         ;
1 error generated.
","cout << ""Hello, Server!"" << endl"
2026-02-09 09:07:57,expected ';' after expression,6,"temp_code.cpp:6:41: error: expected ';' after expression
    6 |         cout << ""Hello, Server!"" << endl
      |                                         ^
      |                                         ;
1 error generated.
","cout << ""Hello, Server!"" << endl"
2026-02-09 09:12:41,expected ';' after expression,6,"temp_code.cpp:6:41: error: expected ';' after expression
    6 |         cout << ""Hello, Server!"" << endl
      |                                         ^
      |                                         ;
1 error generated.
","cout << ""Hello, Server!"" << endl"
2026-02-09 09:14:28,expected ';' after expression,6,"temp_code.cpp:6:41: error: expected ';' after expression
    6 |         cout << ""Hello, Server!"" << endl
      |                                         ^
      |                                         ;
1 error generated.
","cout << ""Hello, Server!"" << endl"
2026-02-09 09:14:35,expected ';' after expression,6,"temp_code.cpp:6:41: error: expected ';' after expression
    6 |         cout << ""Hello, Server!"" << endl
      |                                         ^
      |                                         ;
1 error generated.
","cout << ""Hello, Server!"" << endl"
2026-02-09 09:14:50,expected ';' after expression,6,"temp_code.cpp:6:41: error: expected ';' after expression
    6 |         cout << ""Hello, Server!"" << endl
      |                                         ^
      |                                         ;
1 error generated.
","cout << ""Hello, Server!"" << endl"
2026-02-09 09:20:54,expected ';' after expression,6,"temp_code.cpp:6:41: error: expected ';' after expression
    6 |         cout << ""Hello, Server!"" << endl
      |                                         ^
      |                                         ;
1 error generated.
","cout << ""Hello, Server!"" << endl"
2026-02-09 09:27:40,expected ';' after expression,6,"temp_code.cpp:6:41: error: expected ';' after expression
    6 |         cout << ""Hello, Server!"" << endl
      |                                         ^
      |                                         ;
1 error generated.
","cout << ""Hello, Server!"" << endl"
2026-02-09 09:28:19,"❌ ERROR: Time Limit Exceeded! Your code might have an infinite loop (e.g., while(true)).",Unknown,"❌ ERROR: Time Limit Exceeded! Your code might have an infinite loop (e.g., while(true)).",N/A
2026-02-09 10:30:41,"❌ ERROR: Time Limit Exceeded! Your code might have an infinite loop (e.g., while(true)).",Unknown,"❌ ERROR: Time Limit Exceeded! Your code might have an infinite loop (e.g., while(true)).",N/A
2026-02-09 10:42:48,unexpected character <U+1F915>,14,"temp_code.cpp:14:1: error: unexpected character <U+1F915>
   14 | 🤕
      | ^~
1 error generated.
",🤕
2026-02-09 10:44:40,unexpected character <U+1F915>,14,"temp_code.cpp:14:1: error: unexpected character <U+1F915>
   14 | 🤕
      | ^~
1 error generated.
",🤕
2026-02-09 10:45:31,unexpected character <U+1F915>,14,"temp_code.cpp:14:1: error: unexpected character <U+1F915>
   14 | 🤕
      | ^~
1 error generated.
",🤕
2026-02-09 10:46:11,unexpected character <U+1F915>,14,"temp_code.cpp:14:1: error: unexpected character <U+1F915>
   14 | 🤕
      | ^~
1 error generated.
",🤕
2026-02-09 10:46:16,"❌ ERROR: Time Limit Exceeded! Your code might have an infinite loop (e.g., while(true)).",Unknown,"❌ ERROR: Time Limit Exceeded! Your code might have an infinite loop (e.g., while(true)).",N/A
2026-02-15 01:13:01,expected ';' at end of declaration,4,"temp_code.cpp:4:24: error: expected ';' at end of declaration
    4 | int main() { int x = 10 }
      |                        ^
      |                        ;
1 error generated.
",int main() { int x = 10 }
2026-02-15 01:13:56,expected ';' at end of declaration,4,"temp_code.cpp:4:24: error: expected ';' at end of declaration
    4 | int main() { int x = 10 }
      |                        ^
      |                        ;
1 error generated.
",int main() { int x = 10 }
2026-02-15 01:13:56,"Undefined symbols for architecture arm64:
  ""missingFunction()"", referenced from:
      _main in temp_code-04620d.o
ld: symbol(s) not found for architecture arm64
clang++: error: linker command failed with exit code 1 (use -v to see invocation)
",Unknown,"Undefined symbols for architecture arm64:
  ""missingFunction()"", referenced from:
      _main in temp_code-04620d.o
ld: symbol(s) not found for architecture arm64
clang++: error: linker command failed with exit code 1 (use -v to see invocation)
",N/A
2026-02-15 01:14:05,"Undefined symbols for architecture arm64:
  ""missingFunction()"", referenced from:
      _main in temp_code-01d978.o
ld: symbol(s) not found for architecture arm64
clang++: error: linker command failed with exit code 1 (use -v to see invocation)
",Unknown,"Undefined symbols for architecture arm64:
  ""missingFunction()"", referenced from:
      _main in temp_code-01d978.o
ld: symbol(s) not found for architecture arm64
clang++: error: linker command failed with exit code 1 (use -v to see invocation)
",N/A
2026-02-15 01:15:13,"Undefined symbols for architecture arm64:
  ""missingFunction()"", referenced from:
      _main in temp_code-01d978.o
ld: symbol(s) not found for architecture arm64
clang++: error: linker command failed with exit code 1 (use -v to see invocation)
",Unknown,"Undefined symbols for architecture arm64:
  ""missingFunction()"", referenced from:
      _main in temp_code-01d978.o
ld: symbol(s) not found for architecture arm64
clang++: error: linker command failed with exit code 1 (use -v to see invocation)
",N/A
